Ano;Mês;Novos Usuários;Usuários Acumulados;Receita ARPU;Volume Transacional Total;Receita Take Rate;Receita Total;OPEX Fixo;OPEX Variável (30% da Receita Total);Custo Total;EBITDA Mensal;Fluxo de Caixa Mensal;Fluxo de Caixa Acumulado
1;1;500;500;2500,0;250000;1250,0;3750,0;50000;1125,0;51125,0;-47375,0;-547375,0;-547375,0
1;2;500;1000;5000,0;500000;2500,0;7500,0;50000;2250,0;52250,0;-44750,0;-44750,0;-592125,0
1;3;500;1500;7500,0;750000;3750,0;11250,0;50000;3375,0;53375,0;-42125,0;-42125,0;-634250,0
1;4;500;2000;10000,0;1000000;5000,0;15000,0;50000;4500,0;54500,0;-39500,0;-39500,0;-673750,0
1;5;500;2500;12500,0;1250000;6250,0;18750,0;50000;5625,0;55625,0;-36875,0;-36875,0;-710625,0
1;6;500;3000;15000,0;1500000;7500,0;22500,0;50000;6750,0;56750,0;-34250,0;-34250,0;-744875,0
1;7;500;3500;17500,0;1750000;8750,0;26250,0;50000;7875,0;57875,0;-31625,0;-31625,0;-776500,0
1;8;500;4000;20000,0;2000000;10000,0;30000,0;50000;9000,0;59000,0;-29000,0;-29000,0;-805500,0
1;9;500;4500;22500,0;2250000;11250,0;33750,0;50000;10125,0;60125,0;-26375,0;-26375,0;-831875,0
1;10;500;5000;25000,0;2500000;12500,0;37500,0;50000;11250,0;61250,0;-23750,0;-23750,0;-855625,0
1;11;500;5500;27500,0;2750000;13750,0;41250,0;50000;12375,0;62375,0;-21125,0;-21125,0;-876750,0
1;12;500;6000;30000,0;3000000;15000,0;45000,0;50000;13500,0;63500,0;-18500,0;-18500,0;-895250,0
2;13;1000;7000;35000,0;3500000;17500,0;52500,0;50000;15750,0;65750,0;-13250,0;-13250,0;-908500,0
2;14;1000;8000;40000,0;4000000;20000,0;60000,0;50000;18000,0;68000,0;-8000,0;-8000,0;-916500,0
2;15;1000;9000;45000,0;4500000;22500,0;67500,0;50000;20250,0;70250,0;-2750,0;-2750,0;-919250,0
2;16;1000;10000;50000,0;5000000;25000,0;75000,0;50000;22500,0;72500,0;2500,0;2500,0;-916750,0
2;17;1000;11000;55000,0;5500000;27500,0;82500,0;50000;24750,0;74750,0;7750,0;7750,0;-909000,0
2;18;1000;12000;60000,0;6000000;30000,0;90000,0;50000;27000,0;77000,0;13000,0;13000,0;-896000,0
2;19;1000;13000;65000,0;6500000;32500,0;97500,0;50000;29250,0;79250,0;18250,0;18250,0;-877750,0
2;20;1000;14000;70000,0;7000000;35000,0;105000,0;50000;31500,0;81500,0;23500,0;23500,0;-854250,0
2;21;1000;15000;75000,0;7500000;37500,0;112500,0;50000;33750,0;83750,0;28750,0;28750,0;-825500,0
2;22;1000;16000;80000,0;8000000;40000,0;120000,0;50000;36000,0;86000,0;34000,0;34000,0;-791500,0
2;23;1000;17000;85000,0;8500000;42500,0;127500,0;50000;38250,0;88250,0;39250,0;39250,0;-752250,0
2;24;1000;18000;90000,0;9000000;45000,0;135000,0;50000;40500,0;90500,0;44500,0;44500,0;-707750,0
3;25;2000;20000;100000,0;10000000;50000,0;150000,0;50000;45000,0;95000,0;55000,0;55000,0;-652750,0
3;26;2000;22000;110000,0;11000000;55000,0;165000,0;50000;49500,0;99500,0;65500,0;65500,0;-587250,0
3;27;2000;24000;120000,0;12000000;60000,0;180000,0;50000;54000,0;104000,0;76000,0;76000,0;-511250,0
3;28;2000;26000;130000,0;13000000;65000,0;195000,0;50000;58500,0;108500,0;86500,0;86500,0;-424750,0
3;29;2000;28000;140000,0;14000000;70000,0;210000,0;50000;63000,0;113000,0;97000,0;97000,0;-327750,0
3;30;2000;30000;150000,0;15000000;75000,0;225000,0;50000;67500,0;117500,0;107500,0;107500,0;-220250,0
3;31;2000;32000;160000,0;16000000;80000,0;240000,0;50000;72000,0;122000,0;118000,0;118000,0;-102250,0
3;32;2000;34000;170000,0;17000000;85000,0;255000,0;50000;76500,0;126500,0;128500,0;128500,0;26250,0
3;33;2000;36000;180000,0;18000000;90000,0;270000,0;50000;81000,0;131000,0;139000,0;139000,0;165250,0
3;34;2000;38000;190000,0;19000000;95000,0;285000,0;50000;85500,0;135500,0;149500,0;149500,0;314750,0
3;35;2000;40000;200000,0;20000000;100000,0;300000,0;50000;90000,0;140000,0;160000,0;160000,0;474750,0
3;36;2000;42000;210000,0;21000000;105000,0;315000,0;50000;94500,0;144500,0;170500,0;170500,0;645250,0
